label,time,boat_class,henley_event
Men's 8+ A Final - Leander,5:45.2,M8+,M8+_thames
Men's 8+ A Final - Thames RC,5:48.1,M8+,M8+_thames
Men's 8+ A Final - Molesey BC,5:51.4,M8+,M8+_thames
Women's 8+ A Final - Oxford Brookes,6:22.5,W8+,W8+_warg
Women's 8+ A Final - Thames RC,6:28.3,W8+,W8+_warg
Men's 4- A Final - Cambridge Univ,5:58.1,M4-,M4-_vis
Men's 4- A Final - Leander,6:02.4,M4-,M4-_wyf
Men's 4- A Final - Oxford Brookes,6:40.2,M4-,M4-_wyf
Women's 4x A Final - Wycliffe,6:38.0,W4x,W4x_dj
Men's 1x A Final - Will Young,7:12.5,M1x,
Women's 1x A Final - UTRC,7:55.2,W1x,
Men's 4+ A Final - Upper Thames,6:32.1,M4+,M4+_brit
